contract_id,customer_id,asset_id,start_date,planned_end_date,actual_return_date,initial_hours,return_hours,fuel_at_dispatch_gal,fuel_returned_gal,base_cost,penalty_fees,status
CNTR-2001,CUST-5001,EQ-1001,2026-07-10,2026-07-15,2026-07-15,150.0,180.5,80.0,80.0,2250.00,0.00,CLOSED
CNTR-2002,CUST-5004,EQ-1004,2026-08-01,2026-08-07,,310.0,0.0,30.0,0.0,840.00,0.00,ACTIVE
CNTR-2003,CUST-5003,EQ-1002,2026-07-20,2026-07-23,2026-07-25,480.0,510.0,50.0,12.5,540.00,230.00,CLOSED
CNTR-2004,CUST-5006,EQ-1007,2026-08-03,2026-08-10,,880.0,0.0,30.0,0.0,2660.00,0.00,ACTIVE
CNTR-2005,CUST-5002,EQ-1006,2026-07-01,2026-07-05,2026-07-06,400.0,420.3,18.5,18.5,1280.00,320.00,CLOSED
CNTR-2006,CUST-5005,EQ-1005,2026-07-15,2026-07-18,2026-07-18,280.0,295.0,23.5,23.5,825.00,0.00,CLOSED
CNTR-2007,CUST-5008,EQ-1003,2026-07-01,2026-07-31,2026-07-31,0.0,0.0,0.0,0.0,1350.00,0.00,CLOSED
CNTR-2008,CUST-5009,EQ-1010,2026-08-02,2026-08-30,,0.0,0.0,0.0,0.0,1680.00,0.00,ACTIVE
CNTR-2009,CUST-5007,EQ-1008,2026-07-25,2026-07-27,2026-07-28,140.0,150.8,0.0,0.0,220.00,110.00,CLOSED
CNTR-2010,CUST-5010,EQ-1015,2026-08-05,2026-08-12,,610.2,0.0,20.0,0.0,1120.00,0.00,ACTIVE
CNTR-2011,CUST-5001,EQ-1011,2026-07-28,2026-07-30,2026-07-30,80.0,92.4,24.6,24.6,580.00,0.00,CLOSED
CNTR-2012,CUST-5003,EQ-1014,2026-07-12,2026-07-14,2026-07-14,35.0,45.2,0.0,0.0,190.00,0.00,CLOSED
