asset_id,equipment_type,model_name,daily_rate,purchase_year,status,current_hours,hours_at_last_service,service_interval_hours,fuel_capacity_gal,current_fuel_gal
EQ-1001,POWERED,Cat 320 Hydraulic Excavator,450.00,2022,AVAILABLE,180.5,100.0,100.0,80.0,80.0
EQ-1002,POWERED,Generac 100kW Diesel Generator,180.00,2021,IN_MAINTENANCE,510.0,400.0,100.0,50.0,12.5
EQ-1003,STATIC,Heavy Duty Scaffolding Tower,45.00,2023,AVAILABLE,0.0,0.0,0.0,0.0,0.0
EQ-1004,POWERED,Wacker Neuson Light Tower,120.00,2020,RENTED,340.2,300.0,100.0,30.0,22.0
EQ-1005,POWERED,Bobcat S650 Skid Steer,275.00,2022,AVAILABLE,295.0,200.0,100.0,23.5,23.5
EQ-1006,POWERED,John Deere 50G Compact Excavator,320.00,2021,AVAILABLE,420.3,400.0,100.0,18.5,18.5
EQ-1007,POWERED,JLG 450AJ Boom Lift,380.00,2019,RENTED,890.1,800.0,250.0,30.0,15.0
EQ-1008,POWERED,Skyjack SJ3219 Scissor Lift,110.00,2020,AVAILABLE,150.8,100.0,150.0,0.0,0.0
EQ-1009,STATIC,10ft Steel Storage Container,35.00,2018,AVAILABLE,0.0,0.0,0.0,0.0,0.0
EQ-1010,STATIC,20ft Office Container,60.00,2020,RENTED,0.0,0.0,0.0,0.0,0.0
EQ-1011,POWERED,Kubota SVL75-2 Track Loader,290.00,2023,AVAILABLE,92.4,0.0,100.0,24.6,20.0
EQ-1012,POWERED,Multiquip 3-Inch Trash Pump,85.00,2022,IN_MAINTENANCE,120.0,100.0,50.0,2.5,0.0
EQ-1013,STATIC,Temporary Chainlink Fence Panel,5.00,2024,AVAILABLE,0.0,0.0,0.0,0.0,0.0
EQ-1014,POWERED,Hilti TE 3000 Jackhammer,95.00,2023,AVAILABLE,45.2,0.0,50.0,0.0,0.0
EQ-1015,POWERED,Atlas Copco XAS 185 Air Compressor,160.00,2021,RENTED,620.5,600.0,100.0,20.0,18.5
